,0,1,2,3,Xt
0,5517700.0,6835400.0,13645600.0,9002700.0,8804000.0
1,6835400.0,13645600.0,9002700.0,8804000.0,9376600.0
2,13645600.0,9002700.0,8804000.0,9376600.0,9376300.0
3,9002700.0,8804000.0,9376600.0,9376300.0,7180700.0
4,8804000.0,9376600.0,9376300.0,7180700.0,6578600.0
5,9376600.0,9376300.0,7180700.0,6578600.0,3768200.0
6,9376300.0,7180700.0,6578600.0,3768200.0,4375900.0
7,7180700.0,6578600.0,3768200.0,4375900.0,3390000.0
8,6578600.0,3768200.0,4375900.0,3390000.0,9715800.0
9,3768200.0,4375900.0,3390000.0,9715800.0,6300200.0
10,4375900.0,3390000.0,9715800.0,6300200.0,1515400.0
11,3390000.0,9715800.0,6300200.0,1515400.0,2008200.0
12,9715800.0,6300200.0,1515400.0,2008200.0,3704600.0
13,6300200.0,1515400.0,2008200.0,3704600.0,3643600.0
14,1515400.0,2008200.0,3704600.0,3643600.0,862300.0
15,2008200.0,3704600.0,3643600.0,862300.0,8116000.0
16,3704600.0,3643600.0,862300.0,8116000.0,1467700.0
17,3643600.0,862300.0,8116000.0,1467700.0,2660500.0
18,862300.0,8116000.0,1467700.0,2660500.0,2859800.0
19,8116000.0,1467700.0,2660500.0,2859800.0,4112700.0
20,1467700.0,2660500.0,2859800.0,4112700.0,2417900.0
21,2660500.0,2859800.0,4112700.0,2417900.0,9212800.0
22,2859800.0,4112700.0,2417900.0,9212800.0,6539000.0
23,4112700.0,2417900.0,9212800.0,6539000.0,5220700.0
24,2417900.0,9212800.0,6539000.0,5220700.0,4249000.0
25,9212800.0,6539000.0,5220700.0,4249000.0,3464600.0
26,6539000.0,5220700.0,4249000.0,3464600.0,5093000.0
27,5220700.0,4249000.0,3464600.0,5093000.0,9214400.0
28,4249000.0,3464600.0,5093000.0,9214400.0,27052400.0
29,3464600.0,5093000.0,9214400.0,27052400.0,19668000.0
30,5093000.0,9214400.0,27052400.0,19668000.0,6286500.0
31,9214400.0,27052400.0,19668000.0,6286500.0,11349800.0
32,27052400.0,19668000.0,6286500.0,11349800.0,10835800.0
33,19668000.0,6286500.0,11349800.0,10835800.0,10744500.0
34,6286500.0,11349800.0,10835800.0,10744500.0,20675100.0
35,11349800.0,10835800.0,10744500.0,20675100.0,26492900.0
36,10835800.0,10744500.0,20675100.0,26492900.0,10501600.0
37,10744500.0,20675100.0,26492900.0,10501600.0,9537600.0
38,20675100.0,26492900.0,10501600.0,9537600.0,9719800.0
39,26492900.0,10501600.0,9537600.0,9719800.0,15063200.0
40,10501600.0,9537600.0,9719800.0,15063200.0,7061500.0
41,9537600.0,9719800.0,15063200.0,7061500.0,11340500.0
42,9719800.0,15063200.0,7061500.0,11340500.0,7813200.0
43,15063200.0,7061500.0,11340500.0,7813200.0,6357500.0
44,7061500.0,11340500.0,7813200.0,6357500.0,5127900.0
45,11340500.0,7813200.0,6357500.0,5127900.0,6869900.0
46,7813200.0,6357500.0,5127900.0,6869900.0,5768900.0
47,6357500.0,5127900.0,6869900.0,5768900.0,44064200.0
48,5127900.0,6869900.0,5768900.0,44064200.0,11901400.0
49,6869900.0,5768900.0,44064200.0,11901400.0,9744600.0
50,5768900.0,44064200.0,11901400.0,9744600.0,11348000.0
51,44064200.0,11901400.0,9744600.0,11348000.0,7444600.0
52,11901400.0,9744600.0,11348000.0,7444600.0,19783700.0
53,9744600.0,11348000.0,7444600.0,19783700.0,11046100.0
54,11348000.0,7444600.0,19783700.0,11046100.0,10507900.0
55,7444600.0,19783700.0,11046100.0,10507900.0,6328100.0
56,19783700.0,11046100.0,10507900.0,6328100.0,6175200.0
57,11046100.0,10507900.0,6328100.0,6175200.0,3334200.0
58,10507900.0,6328100.0,6175200.0,3334200.0,17845000.0
59,6328100.0,6175200.0,3334200.0,17845000.0,8247100.0
60,6175200.0,3334200.0,17845000.0,8247100.0,22602100.0
61,3334200.0,17845000.0,8247100.0,22602100.0,31824000.0
62,17845000.0,8247100.0,22602100.0,31824000.0,39399900.0
63,8247100.0,22602100.0,31824000.0,39399900.0,12191000.0
64,22602100.0,31824000.0,39399900.0,12191000.0,3459400.0
65,31824000.0,39399900.0,12191000.0,3459400.0,3406500.0
66,39399900.0,12191000.0,3459400.0,3406500.0,5391300.0
67,12191000.0,3459400.0,3406500.0,5391300.0,5929500.0
68,3459400.0,3406500.0,5391300.0,5929500.0,13545600.0
69,3406500.0,5391300.0,5929500.0,13545600.0,7138800.0
70,5391300.0,5929500.0,13545600.0,7138800.0,8617200.0
71,5929500.0,13545600.0,7138800.0,8617200.0,4426000.0
72,13545600.0,7138800.0,8617200.0,4426000.0,24328800.0
73,7138800.0,8617200.0,4426000.0,24328800.0,15430100.0
74,8617200.0,4426000.0,24328800.0,15430100.0,10989300.0
75,4426000.0,24328800.0,15430100.0,10989300.0,13464400.0
76,24328800.0,15430100.0,10989300.0,13464400.0,11496500.0
77,15430100.0,10989300.0,13464400.0,11496500.0,9240500.0
78,10989300.0,13464400.0,11496500.0,9240500.0,12707900.0
79,13464400.0,11496500.0,9240500.0,12707900.0,6875200.0
80,11496500.0,9240500.0,12707900.0,6875200.0,6359200.0
81,9240500.0,12707900.0,6875200.0,6359200.0,2838800.0
82,12707900.0,6875200.0,6359200.0,2838800.0,4333100.0
83,6875200.0,6359200.0,2838800.0,4333100.0,9225000.0
84,6359200.0,2838800.0,4333100.0,9225000.0,2731500.0
85,2838800.0,4333100.0,9225000.0,2731500.0,2630200.0
86,4333100.0,9225000.0,2731500.0,2630200.0,1961700.0
87,9225000.0,2731500.0,2630200.0,1961700.0,11210400.0
88,2731500.0,2630200.0,1961700.0,11210400.0,4024200.0
89,2630200.0,1961700.0,11210400.0,4024200.0,4425400.0
90,1961700.0,11210400.0,4024200.0,4425400.0,4338500.0
91,11210400.0,4024200.0,4425400.0,4338500.0,16242200.0
92,4024200.0,4425400.0,4338500.0,16242200.0,6770100.0
93,4425400.0,4338500.0,16242200.0,6770100.0,9022000.0
94,4338500.0,16242200.0,6770100.0,9022000.0,6511100.0
95,16242200.0,6770100.0,9022000.0,6511100.0,3943100.0
96,6770100.0,9022000.0,6511100.0,3943100.0,5357500.0
97,9022000.0,6511100.0,3943100.0,5357500.0,10817800.0
98,6511100.0,3943100.0,5357500.0,10817800.0,6508000.0
99,3943100.0,5357500.0,10817800.0,6508000.0,9753200.0
100,5357500.0,10817800.0,6508000.0,9753200.0,3551900.0
101,10817800.0,6508000.0,9753200.0,3551900.0,4381900.0
102,6508000.0,9753200.0,3551900.0,4381900.0,2919000.0
103,9753200.0,3551900.0,4381900.0,2919000.0,3298700.0
104,3551900.0,4381900.0,2919000.0,3298700.0,1909500.0
105,4381900.0,2919000.0,3298700.0,1909500.0,2520600.0
106,2919000.0,3298700.0,1909500.0,2520600.0,3189000.0
107,3298700.0,1909500.0,2520600.0,3189000.0,1515900.0
108,1909500.0,2520600.0,3189000.0,1515900.0,4955300.0
109,2520600.0,3189000.0,1515900.0,4955300.0,2362100.0
110,3189000.0,1515900.0,4955300.0,2362100.0,3485500.0
111,1515900.0,4955300.0,2362100.0,3485500.0,3889600.0
112,4955300.0,2362100.0,3485500.0,3889600.0,1207000.0
113,2362100.0,3485500.0,3889600.0,1207000.0,2221800.0
114,3485500.0,3889600.0,1207000.0,2221800.0,1910600.0
115,3889600.0,1207000.0,2221800.0,1910600.0,3453100.0
116,1207000.0,2221800.0,1910600.0,3453100.0,1586800.0
117,2221800.0,1910600.0,3453100.0,1586800.0,2125000.0
118,1910600.0,3453100.0,1586800.0,2125000.0,4976000.0
119,3453100.0,1586800.0,2125000.0,4976000.0,4992100.0
120,1586800.0,2125000.0,4976000.0,4992100.0,4014500.0
121,2125000.0,4976000.0,4992100.0,4014500.0,5008900.0
122,4976000.0,4992100.0,4014500.0,5008900.0,6716600.0
123,4992100.0,4014500.0,5008900.0,6716600.0,2025600.0
124,4014500.0,5008900.0,6716600.0,2025600.0,2081400.0
125,5008900.0,6716600.0,2025600.0,2081400.0,1108800.0
126,6716600.0,2025600.0,2081400.0,1108800.0,1045200.0
127,2025600.0,2081400.0,1108800.0,1045200.0,1749600.0
128,2081400.0,1108800.0,1045200.0,1749600.0,1350100.0
129,1108800.0,1045200.0,1749600.0,1350100.0,1167700.0
130,1045200.0,1749600.0,1350100.0,1167700.0,2336500.0
131,1749600.0,1350100.0,1167700.0,2336500.0,1580100.0
132,1350100.0,1167700.0,2336500.0,1580100.0,996700.0
133,1167700.0,2336500.0,1580100.0,996700.0,1687000.0
134,2336500.0,1580100.0,996700.0,1687000.0,825100.0
135,1580100.0,996700.0,1687000.0,825100.0,1800100.0
136,996700.0,1687000.0,825100.0,1800100.0,6508300.0
137,1687000.0,825100.0,1800100.0,6508300.0,2939300.0
138,825100.0,1800100.0,6508300.0,2939300.0,6481000.0
139,1800100.0,6508300.0,2939300.0,6481000.0,19479500.0
140,6508300.0,2939300.0,6481000.0,19479500.0,19476600.0
141,2939300.0,6481000.0,19479500.0,19476600.0,17178900.0
142,6481000.0,19479500.0,19476600.0,17178900.0,16408200.0
143,19479500.0,19476600.0,17178900.0,16408200.0,17318500.0
144,19476600.0,17178900.0,16408200.0,17318500.0,20510400.0
145,17178900.0,16408200.0,17318500.0,20510400.0,30232400.0
146,16408200.0,17318500.0,20510400.0,30232400.0,7903100.0
147,17318500.0,20510400.0,30232400.0,7903100.0,4914100.0
148,20510400.0,30232400.0,7903100.0,4914100.0,7655100.0
149,30232400.0,7903100.0,4914100.0,7655100.0,26314100.0
150,7903100.0,4914100.0,7655100.0,26314100.0,30295000.0
151,4914100.0,7655100.0,26314100.0,30295000.0,7271200.0
152,7655100.0,26314100.0,30295000.0,7271200.0,5314700.0
153,26314100.0,30295000.0,7271200.0,5314700.0,13669000.0
154,30295000.0,7271200.0,5314700.0,13669000.0,5950100.0
155,7271200.0,5314700.0,13669000.0,5950100.0,5310800.0
156,5314700.0,13669000.0,5950100.0,5310800.0,6137800.0
157,13669000.0,5950100.0,5310800.0,6137800.0,59008200.0
158,5950100.0,5310800.0,6137800.0,59008200.0,4214200.0
159,5310800.0,6137800.0,59008200.0,4214200.0,6945800.0
160,6137800.0,59008200.0,4214200.0,6945800.0,3260300.0
161,59008200.0,4214200.0,6945800.0,3260300.0,3264300.0
162,4214200.0,6945800.0,3260300.0,3264300.0,3284600.0
163,6945800.0,3260300.0,3264300.0,3284600.0,6943900.0
164,3260300.0,3264300.0,3284600.0,6943900.0,5986100.0
165,3264300.0,3284600.0,6943900.0,5986100.0,4790000.0
166,3284600.0,6943900.0,5986100.0,4790000.0,5053000.0
167,6943900.0,5986100.0,4790000.0,5053000.0,8369000.0
168,5986100.0,4790000.0,5053000.0,8369000.0,4507900.0
169,4790000.0,5053000.0,8369000.0,4507900.0,8299100.0
170,5053000.0,8369000.0,4507900.0,8299100.0,4363000.0
171,8369000.0,4507900.0,8299100.0,4363000.0,9009800.0
172,4507900.0,8299100.0,4363000.0,9009800.0,2756100.0
173,8299100.0,4363000.0,9009800.0,2756100.0,1457400.0
174,4363000.0,9009800.0,2756100.0,1457400.0,3170800.0
175,9009800.0,2756100.0,1457400.0,3170800.0,4369700.0
176,2756100.0,1457400.0,3170800.0,4369700.0,5888300.0
177,1457400.0,3170800.0,4369700.0,5888300.0,1182000.0
178,3170800.0,4369700.0,5888300.0,1182000.0,3039800.0
179,4369700.0,5888300.0,1182000.0,3039800.0,1784600.0
180,5888300.0,1182000.0,3039800.0,1784600.0,1598900.0
181,1182000.0,3039800.0,1784600.0,1598900.0,1778300.0
182,3039800.0,1784600.0,1598900.0,1778300.0,5784600.0
183,1784600.0,1598900.0,1778300.0,5784600.0,3146700.0
184,1598900.0,1778300.0,5784600.0,3146700.0,2624200.0
185,1778300.0,5784600.0,3146700.0,2624200.0,2453100.0
186,5784600.0,3146700.0,2624200.0,2453100.0,1712400.0
187,3146700.0,2624200.0,2453100.0,1712400.0,1462800.0
188,2624200.0,2453100.0,1712400.0,1462800.0,8514500.0
189,2453100.0,1712400.0,1462800.0,8514500.0,4492600.0
190,1712400.0,1462800.0,8514500.0,4492600.0,9996700.0
191,1462800.0,8514500.0,4492600.0,9996700.0,2672800.0
192,8514500.0,4492600.0,9996700.0,2672800.0,1190400.0
