Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,620.000000,620.000000,605.000000,615.000000,565.000000,5517700
2022-06-16,620.000000,620.000000,605.000000,610.000000,560.406494,6835400
2022-06-17,610.000000,610.000000,580.000000,585.000000,537.439026,13645600
2022-06-20,585.000000,590.000000,575.000000,585.000000,537.439026,9002700
2022-06-21,590.000000,590.000000,580.000000,580.000000,532.845520,8804000
2022-06-22,585.000000,595.000000,580.000000,590.000000,542.032532,9376600
2022-06-23,590.000000,595.000000,580.000000,590.000000,542.032532,9376300
2022-06-24,595.000000,615.000000,590.000000,595.000000,546.626038,7180700
2022-06-27,600.000000,605.000000,585.000000,590.000000,542.032532,6578600
2022-06-28,595.000000,595.000000,580.000000,585.000000,537.439026,3768200
2022-06-29,585.000000,590.000000,580.000000,585.000000,537.439026,4375900
2022-06-30,585.000000,595.000000,585.000000,585.000000,537.439026,3390000
2022-07-01,590.000000,590.000000,560.000000,565.000000,519.065063,9715800
2022-07-04,555.000000,570.000000,550.000000,555.000000,509.878052,6300200
2022-07-05,555.000000,570.000000,550.000000,560.000000,514.471558,1515400
2022-07-06,560.000000,565.000000,550.000000,555.000000,509.878052,2008200
2022-07-07,555.000000,560.000000,550.000000,550.000000,505.284576,3704600
2022-07-08,550.000000,575.000000,550.000000,565.000000,519.065063,3643600
2022-07-11,565.000000,570.000000,560.000000,560.000000,514.471558,862300
2022-07-12,565.000000,575.000000,555.000000,570.000000,523.658569,8116000
2022-07-13,570.000000,570.000000,555.000000,555.000000,509.878052,1467700
2022-07-14,555.000000,560.000000,550.000000,555.000000,509.878052,2660500
2022-07-15,555.000000,565.000000,550.000000,555.000000,509.878052,2859800
2022-07-18,555.000000,570.000000,555.000000,565.000000,519.065063,4112700
2022-07-19,570.000000,570.000000,560.000000,570.000000,523.658569,2417900
2022-07-20,570.000000,580.000000,565.000000,570.000000,523.658569,9212800
2022-07-21,575.000000,595.000000,575.000000,575.000000,528.252014,6539000
2022-07-22,580.000000,590.000000,570.000000,580.000000,532.845520,5220700
2022-07-25,580.000000,585.000000,570.000000,580.000000,532.845520,4249000
2022-07-26,585.000000,590.000000,570.000000,570.000000,523.658569,3464600
2022-07-27,570.000000,575.000000,565.000000,565.000000,519.065063,5093000
2022-07-28,565.000000,575.000000,560.000000,570.000000,523.658569,9214400
